"devt","status","suit_1","total_rx_pct_1","exp_rx_1","status_1","status_2","status_2_1"
42,"O",0,0.463152131147541,661.92,"O","O","O_O"
42,"C",0,0,0,"C","O","C"
42,"C",0,0.813428518518518,1270.8,"O","O","O_O"
42,"C",0,0.963636363636364,1800,"O","O","O_O"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","O","C"
42,"O",0,0.9412388,2030.97,"O","O","O_O"
42,"C",0,0,0,"C","O","C"
42,"C",0,0.9,1650,"O","O","O_O"
42,"C",0,0.917066666666667,1502.4,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0.323071428571429,1938.25,"O","O","O_O"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","O","C"
42,"C",1,0.727376795964283,1256.47,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"O",1,0,0,"C","O","C"
42,"O",0,0.981892,4366.22,"O","O","O_O"
42,"C",1,0.9198046875,4433.75,"O","O","O_O"
42,"C",0,0,0,"C",NA,"C"
42,"O",1,1,4500,"O",NA,"NA_O"
42,"O",0,1,5000,"O",NA,"NA_O"
42,"O",NA,NA,NA,NA,NA,NA
42,"O",NA,NA,NA,NA,NA,NA
42,"O",NA,NA,NA,NA,NA,NA
42,"O",NA,NA,NA,NA,NA,NA
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",1,0,0,"C","O","C"
42,"C",0,0.949001666666667,1388.02,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",1,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"O",1,0.942310888888889,2403.99,"O","O","O_O"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"O",1,0.743591214678237,18474.56,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0.973305652173913,2386.03,"O","O","O_O"
42,"C",0,0.942175714285714,2976.15,"O","O","O_O"
42,"C",1,0.870555961662472,14579.97,"O","O","O_O"
42,"C",1,0.832842749181242,4592.96,"O","O","O_O"
42,"C",0,0,0,"C","O","C"
42,"O",0,0.871094159583704,1683.18,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",1,0,0,"C","O","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",1,0.939767459635598,21604.48,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"O",1,0.792107611172375,26921.25,"O","O","O_O"
42,"C",0,0.783099565217391,1047.87,"O","O","O_O"
42,"C",0,0.63852407589387,422.07,"O","O","O_O"
42,"O",1,0.917238333333333,2013.72,"O","O","O_O"
42,"O",0,0.904199,1167.96,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",1,0,0,"C","O","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","O","C"
42,"O",1,0.974075942856809,5000,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"O",1,0.523792599906466,16469.79,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"O",1,0.747465698417743,11064.09,"O","O","O_O"
42,"C",1,0.71719913136376,21470.24,"O","O","O_O"
42,"C",1,0,0,"C","O","C"
42,"C",1,0,0,"C","O","C"
42,"O",0,0.944227826086957,1717.24,"O","O","O_O"
42,"O",1,0.671415121739776,19622.61,"O","O","O_O"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"O",1,0.765945294260845,18874.36,"O","O","O_O"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"O",1,0.954956877071382,43725,"O","O","O_O"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",1,0.743816789099256,14191.85,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0.836101500985849,4624.23,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",1,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",1,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"O",0,0.79758208746043,4973.8,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"O",0,0.927907142857143,467.45,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",1,0.716442857142857,1856.4,"O","O","O_O"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",1,0.877033531450319,22582.7,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"O",1,0.869888914823012,19291,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"O",1,0.806043,162.5,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",1,0,0,"C","O","C"
