Fiscal Year,Claim Number,Date of Claim,Company Code,Event Date Reported,BI Reserve,BI Paid,BI Collection,PD Reserve,PD Paid,PD Collection,Expense Reserve,Expense Paid,Expense Collection,Incurred Sum,CSH O/C Status Code
1999,980603341,1998-06-02,0003,1998-06-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,425.15,0.00,425.15,C
1999,980603342,1998-06-03,0003,1998-06-04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77.00,0.00,77.00,C
1999,980603343,1998-06-08,0003,1998-06-09,0.00,0.00,0.00,0.00,150.00,0.00,0.00,514.66,0.00,664.66,C
1999,980603344,1998-06-10,0003,1998-06-11,0.00,0.00,0.00,0.00,1553.76,0.00,0.00,747.82,0.00,2301.58,C
1999,980603345,1998-06-11,0003,1998-06-12,0.00,0.00,0.00,0.00,350.82,0.00,0.00,779.16,0.00,1129.98,C
1999,980603346,1998-06-10,0003,1998-06-11,0.00,0.00,0.00,0.00,582.70,0.00,0.00,634.21,0.00,1216.91,C
1999,980603347,1998-06-11,0003,1998-06-12,0.00,10500.00,0.00,0.00,9500.00,0.00,0.00,2094.74,0.00,22094.74,C
1999,980603348,1998-06-10,0003,1998-06-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180.37,0.00,180.37,C
1999,980603349,1998-06-11,0003,1998-06-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,713.63,0.00,713.63,C
1999,980603350,1998-06-11,0003,1998-06-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603351,1998-06-12,0003,1998-06-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603354,1998-06-05,0003,1998-06-08,0.00,0.00,0.00,0.00,341.99,0.00,0.00,458.70,0.00,800.69,C
1999,980603366,1998-06-02,0003,1998-06-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,557.90,0.00,557.90,C
1999,980603367,1998-06-04,0003,1998-06-09,0.00,0.00,0.00,0.00,1101.08,0.00,0.00,0.00,0.00,1101.08,C
1999,980603368,1998-06-05,0003,1998-06-09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,315.70,0.00,315.70,C
1999,980603369,1998-06-05,0003,1998-06-08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,215.84,0.00,215.84,C
1999,980603370,1998-06-05,0003,1998-06-08,0.00,0.00,0.00,0.00,1387.29,0.00,0.00,685.70,0.00,2072.99,C
1999,980603371,1998-06-08,0003,1998-06-09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,496.34,0.00,496.34,C
1999,980603372,1998-06-08,0003,1998-06-09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,252.92,0.00,252.92,C
1999,980603373,1998-06-03,0003,1998-06-09,0.00,0.00,0.00,0.00,122.60,0.00,0.00,0.00,0.00,122.60,C
1999,980603374,1998-06-05,0003,1998-06-08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603375,1998-06-05,0003,1998-06-08,0.00,0.00,0.00,0.00,1549.60,0.00,0.00,0.00,0.00,1549.60,C
1999,980603376,1998-06-05,0003,1998-06-08,0.00,0.00,0.00,0.00,394.00,0.00,0.00,0.00,0.00,394.00,C
1999,980603377,1998-06-12,0003,1998-06-15,0.00,0.00,0.00,0.00,1260.00,0.00,0.00,1166.22,0.00,2426.22,C
1999,980603380,1998-06-12,0003,1998-06-15,0.00,0.00,0.00,0.00,2500.00,0.00,0.00,0.00,0.00,2500.00,C
1999,980603386,1998-06-08,0003,1998-06-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,464.06,0.00,464.06,C
1999,980603387,1998-06-09,0003,1998-06-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,592.72,0.00,592.72,C
1999,980603388,1998-06-10,0003,1998-06-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,441.35,0.00,441.35,C
1999,980603389,1998-06-10,0003,1998-06-11,0.00,119500.00,0.00,0.00,4758.35,0.00,0.00,3481.51,0.00,127739.86,C
1999,980603390,1998-06-12,0003,1998-06-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,187.30,0.00,187.30,C
1999,980603391,1998-06-12,0003,1998-06-16,0.00,0.00,0.00,0.00,665.91,0.00,0.00,0.00,0.00,665.91,C
1999,980603392,1998-06-15,0003,1998-06-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603393,1998-06-15,0003,1998-06-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603394,1998-06-14,0003,1998-06-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603395,1998-06-15,0003,1998-06-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603397,1998-06-05,0003,1998-06-11,0.00,0.00,0.00,0.00,425.00,0.00,0.00,0.00,0.00,425.00,C
1999,980603398,1998-06-05,0003,1998-06-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,523.68,0.00,523.68,C
1999,980603399,1998-06-08,0003,1998-06-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603400,1998-06-08,0003,1998-06-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,687.68,0.00,687.68,C
1999,980603401,1998-06-09,0003,1998-06-10,0.00,0.00,0.00,0.00,1416.50,0.00,0.00,0.00,0.00,1416.50,C
1999,980603402,1998-06-09,0003,1998-06-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,724.62,0.00,724.62,C
1999,980603403,1998-06-09,0003,1998-06-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,314.23,0.00,314.23,C
1999,980603404,1998-06-09,0003,1998-06-10,0.00,0.00,0.00,0.00,1162.67,0.00,0.00,0.00,0.00,1162.67,C
1999,980603405,1998-06-09,0003,1998-06-11,0.00,0.00,0.00,0.00,1239.95,0.00,0.00,335.80,0.00,1575.75,C
1999,980603407,1998-06-10,0003,1998-06-12,0.00,0.00,0.00,0.00,6912.99,0.00,0.00,0.00,0.00,6912.99,C
1999,980603408,1998-06-10,0003,1998-06-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603410,1998-06-10,0003,1998-06-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603411,1998-06-10,0003,1998-06-12,0.00,0.00,0.00,0.00,1087.40,0.00,0.00,449.15,0.00,1536.55,C
1999,980603414,1998-06-10,0003,1998-06-11,0.00,0.00,0.00,0.00,1982.76,0.00,0.00,328.20,0.00,2310.96,C
1999,980603416,1998-06-10,0003,1998-06-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,828.30,0.00,828.30,C
1999,980603418,1998-06-10,0003,1998-06-11,0.00,0.00,0.00,0.00,85.00,0.00,0.00,211.40,0.00,296.40,C
1999,980603420,1998-06-11,0003,1998-06-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,221.52,0.00,221.52,C
1999,980603421,1998-06-11,0003,1998-06-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603428,1998-06-15,0003,1998-06-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603432,1998-06-03,0003,1998-06-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,739.50,0.00,739.50,C
1999,980603434,1998-06-08,0003,1998-06-09,0.00,0.00,0.00,0.00,1181.37,0.00,0.00,0.00,0.00,1181.37,C
1999,980603435,1998-06-11,0003,1998-06-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,736.08,0.00,736.08,C
1999,980603437,1998-06-12,0003,1998-06-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,356.96,0.00,356.96,C
1999,980603438,1998-06-15,0003,1998-06-16,0.00,1000.00,0.00,0.00,1750.00,0.00,0.00,733.69,0.00,3483.69,C
1999,980603440,1998-06-16,0003,1998-06-16,0.00,0.00,0.00,0.00,935.09,0.00,0.00,0.00,0.00,935.09,C
